Candidato,Partido,Votos
MarquinhosTrad,PDT,8567
RafaelTavares,PL,8128
Carlão,PSB,6912
SilvioPitu,PSDB,6409
VeterinárioFrancisco,União,6371
FábioRocha,União,6314
ProfessorRiverton,PP,6271
JuniorCoringa,MDB,6131
DrVictorRocha,PSDB,5355
ProfessorJuari,PSDB,5050
FlavioCaboAlmi,PSDB,5003
LuizaRibeiro,PT,4982
AndréSalineiro,PL,4782
Papy,PSDB,4641
AnaPortela,PL,4577
NetoSantos,Republicanos,4576
MaiconNogueira,PP,4236
DeleiPinheiro,PP,4179
WilsonLands,Avante,4148
HerculanoBorges,Republicanos,4119
BetoAvelar,PP,4063
DoutorJamal,MDB,4030
Landmark,PT,4022
DrSandro,PP,3922
Betinho,Republicanos,3877
ClodoilsonPires,Pode,3859
JeanFerreira,PT,3768
ProfessorJoãoRocha,PP,3693
ValdirGomes,PP,3648
DrLívio,União,3636
